18  23
DHAP   GAP   FBP   F6P   G6P   G1P   E4P   SBP   S7P   R5P   Ru5P   RuBP   X5P   PGA   BPGA   ATP   NADPH   CO2   
Rubisco   PGK   G3Pdh   FBPase   SBPase   Ru5PK   StarchSynth   ATP::Bal   TPI   Aldo   TKL1   Aldo2   TKL2   R5Piso   X5epi   PGI   PGM   StarchDeg   GAP::TP   oxPPP   NADPH::Bal   CO2::Bal   TAL   
0  0  0  0  0  0  0  0  1 -1  0 -1  0  0  0  0  0  0  0  0  0  0  0
0  0  1  0  0  0  0  0 -1 -1 -1  0 -1  0  0  0  0  0 -1  0  0  0  1
0  0  0 -1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
0  0  0  1  0  0  0  0  0  0 -1  0  0  0  0 -1  0  0  0  0  0  0 -1
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1 -1  0  0 -1  0  0  0
0  0  0  0  0  0 -1  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0
0  0  0  0  0  0  0  0  0  0  1 -1  0  0  0  0  0  0  0  0  0  0 -1
0  0  0  0 -1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
0  0  0  0  1  0  0  0  0  0  0  0 -1  0  0  0  0  0  0  0  0  0  1
0  0  0  0  0  0  0  0  0  0  0  0  1 -1  0  0  0  0  0  1  0  0  0
0  0  0  0  0 -1  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0
-1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0  0  0  1  0  1  0 -1  0  0  0  0  0  0  0  0
2 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
0  1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
0 -1  0  0  0 -1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
0  0 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2 -1  0  0
-1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0 -1  0

1   4   5   6   7  18  19  20	0+
