Model, Reactions, Metabolites, Reactions after reduction, Metabolites after reduction
BIOMD0000000001, 17, 12, 13, 7
BIOMD0000000002, 17, 13, 13, 7
BIOMD0000000003, 7, 3, 5, 1
BIOMD0000000004, 7, 5, 5, 1
BIOMD0000000005, 9, 9, 7, 3
BIOMD0000000006, 3, 4, 1, 1
BIOMD0000000007, 25, 22, 20, 7
BIOMD0000000008, 13, 5, 11, 3
BIOMD0000000009, 20, 26, 5, 1
BIOMD0000000010, 10, 8, 5, 1
BIOMD0000000011, 30, 22, 25, 10
BIOMD0000000012, 12, 6, 6, 1
BIOMD0000000013, 21, 27, 1, 1
BIOMD0000000014, 300, 86, 300, 78
BIOMD0000000015, 37, 18, 11, 3
BIOMD0000000016, 10, 7, 7, 2
BIOMD0000000018, 47, 33, 22, 6
BIOMD0000000019, 125, 100, 74, 30
BIOMD0000000021, 24, 10, 21, 7
BIOMD0000000022, 32, 13, 20, 6
BIOMD0000000023, 11, 13, 1, 1
BIOMD0000000024, 4, 3, 2, 1
BIOMD0000000025, 4, 4, 2, 1
BIOMD0000000026, 10, 11, 2, 1
BIOMD0000000027, 4, 5, 2, 1
BIOMD0000000028, 17, 16, 7, 3
BIOMD0000000029, 7, 6, 7, 3
BIOMD0000000030, 20, 18, 8, 3
BIOMD0000000031, 4, 6, 2, 1
BIOMD0000000032, 47, 37, 32, 11
BIOMD0000000033, 26, 32, 16, 3
BIOMD0000000034, 22, 9, 22, 9
BIOMD0000000035, 16, 10, 3, 1
BIOMD0000000036, 5, 3, 4, 1
BIOMD0000000037, 12, 12, 4, 1
BIOMD0000000039, 7, 5, 5, 1
BIOMD0000000041, 9, 10, 3, 1
BIOMD0000000042, 25, 15, 20, 10
BIOMD0000000043, 7, 5, 5, 1
BIOMD0000000044, 8, 4, 7, 2
BIOMD0000000045, 8, 4, 7, 2
BIOMD0000000046, 15, 16, 1, 1
BIOMD0000000047, 3, 2, 3, 1
BIOMD0000000048, 25, 23, 14, 6
BIOMD0000000049, 150, 99, 75, 27
BIOMD0000000051, 48, 18, 47, 17
BIOMD0000000052, 11, 11, 1, 1
BIOMD0000000053, 12, 6, 3, 1
BIOMD0000000054, 5, 3, 3, 1
BIOMD0000000055, 32, 13, 29, 10
BIOMD0000000056, 94, 54, 85, 27
BIOMD0000000058, 11, 4, 9, 2
BIOMD0000000059, 18, 6, 16, 3
BIOMD0000000061, 24, 25, 7, 4
BIOMD0000000062, 5, 4, 4, 1
BIOMD0000000065, 16, 9, 11, 3
BIOMD0000000067, 13, 8, 5, 1
BIOMD0000000069, 7, 10, 1, 1
BIOMD0000000070, 38, 45, 1, 1
BIOMD0000000071, 14, 27, 1, 1
BIOMD0000000072, 7, 7, 2, 1
BIOMD0000000073, 48, 16, 48, 16
BIOMD0000000074, 57, 19, 57, 19
BIOMD0000000075, 8, 13, 1, 1
BIOMD0000000077, 5, 8, 1, 1
BIOMD0000000078, 48, 16, 48, 16
BIOMD0000000079, 6, 3, 3, 1
BIOMD0000000083, 57, 19, 57, 19
BIOMD0000000084, 8, 8, 4, 1
BIOMD0000000085, 17, 17, 11, 6
BIOMD0000000086, 24, 17, 24, 12
BIOMD0000000087, 43, 55, 18, 5
BIOMD0000000088, 110, 105, 35, 6
BIOMD0000000089, 36, 16, 28, 8
BIOMD0000000090, 21, 26, 1, 1
BIOMD0000000091, 23, 16, 13, 3
BIOMD0000000092, 3, 4, 1, 1
BIOMD0000000093, 46, 34, 24, 9
BIOMD0000000094, 45, 34, 23, 9
BIOMD0000000095, 46, 19, 41, 14
BIOMD0000000096, 46, 19, 41, 14
BIOMD0000000097, 46, 19, 41, 14
BIOMD0000000098, 6, 2, 6, 2
BIOMD0000000099, 14, 7, 7, 1
BIOMD0000000100, 10, 5, 8, 2
BIOMD0000000101, 13, 6, 10, 3
BIOMD0000000102, 28, 13, 27, 12
BIOMD0000000103, 42, 17, 42, 17
BIOMD0000000105, 94, 39, 1, 1
BIOMD0000000106, 32, 25, 17, 5
BIOMD0000000107, 23, 14, 13, 3
BIOMD0000000108, 17, 9, 17, 7
BIOMD0000000109, 138, 57, 126, 40
BIOMD0000000110, 22, 15, 15, 5
BIOMD0000000111, 19, 10, 12, 2
BIOMD0000000113, 7, 4, 6, 2
BIOMD0000000114, 4, 2, 2, 1
BIOMD0000000115, 5, 2, 4, 1
BIOMD0000000116, 10, 6, 8, 4
BIOMD0000000117, 6, 2, 6, 2
BIOMD0000000120, 10, 5, 9, 3
BIOMD0000000121, 5, 6, 1, 1
BIOMD0000000122, 17, 14, 14, 8
BIOMD0000000123, 17, 14, 14, 8
BIOMD0000000125, 7, 5, 5, 1
BIOMD0000000126, 11, 9, 5, 2
BIOMD0000000137, 20, 21, 7, 2
BIOMD0000000139, 45, 24, 36, 14
BIOMD0000000140, 45, 24, 36, 14
BIOMD0000000143, 20, 20, 1, 1
BIOMD0000000144, 54, 18, 48, 12
BIOMD0000000145, 11, 7, 7, 1
BIOMD0000000146, 34, 36, 12, 1
BIOMD0000000147, 51, 24, 48, 20
BIOMD0000000148, 6, 7, 3, 1
BIOMD0000000149, 33, 28, 16, 2
BIOMD0000000151, 72, 68, 32, 12
BIOMD0000000152, 120, 64, 104, 38
BIOMD0000000153, 152, 75, 137, 50
BIOMD0000000154, 5, 2, 4, 1
BIOMD0000000155, 4, 2, 2, 1
BIOMD0000000156, 5, 3, 2, 1
BIOMD0000000157, 6, 3, 4, 1
BIOMD0000000158, 6, 3, 4, 1
BIOMD0000000159, 6, 3, 4, 1
BIOMD0000000160, 41, 25, 23, 3
BIOMD0000000161, 43, 46, 21, 8
BIOMD0000000162, 45, 32, 22, 5
BIOMD0000000163, 26, 16, 21, 9
BIOMD0000000164, 29, 26, 22, 12
BIOMD0000000165, 30, 37, 9, 3
BIOMD0000000166, 9, 3, 9, 3
BIOMD0000000167, 7, 9, 1, 1
BIOMD0000000168, 10, 7, 6, 1
BIOMD0000000169, 27, 11, 23, 7
BIOMD0000000170, 17, 7, 15, 5
BIOMD0000000171, 26, 12, 23, 7
BIOMD0000000173, 26, 26, 10, 3
BIOMD0000000174, 10, 4, 8, 2
BIOMD0000000175, 102, 120, 5, 1
BIOMD0000000179, 17, 7, 12, 2
BIOMD0000000180, 20, 8, 14, 2
BIOMD0000000181, 18, 6, 15, 3
BIOMD0000000182, 32, 37, 16, 3
BIOMD0000000183, 352, 67, 352, 63
BIOMD0000000184, 7, 3, 5, 1
BIOMD0000000185, 20, 8, 14, 2
BIOMD0000000186, 9, 11, 4, 1
BIOMD0000000187, 9, 11, 4, 1
BIOMD0000000188, 20, 20, 4, 1
BIOMD0000000189, 14, 18, 1, 1
BIOMD0000000190, 13, 11, 1, 1
BIOMD0000000191, 5, 3, 5, 2
BIOMD0000000192, 9, 13, 1, 1
BIOMD0000000193, 6, 8, 3, 1
BIOMD0000000194, 3, 5, 1, 1
BIOMD0000000195, 20, 11, 15, 3
BIOMD0000000196, 13, 11, 8, 2
BIOMD0000000197, 10, 7, 8, 2
BIOMD0000000200, 34, 22, 31, 12
BIOMD0000000201, 33, 26, 22, 5
BIOMD0000000202, 15, 9, 10, 2
BIOMD0000000205, 205, 194, 65, 18
BIOMD0000000206, 11, 9, 4, 2
BIOMD0000000207, 6, 6, 6, 2
BIOMD0000000208, 15, 6, 13, 4
BIOMD0000000212, 18, 31, 5, 1
BIOMD0000000213, 12, 14, 9, 2
BIOMD0000000214, 24, 16, 19, 7
BIOMD0000000215, 14, 7, 9, 1
BIOMD0000000216, 17, 6, 17, 4
BIOMD0000000217, 16, 22, 4, 1
BIOMD0000000218, 14, 13, 2, 1
BIOMD0000000219, 15, 13, 3, 1
BIOMD0000000223, 109, 86, 49, 13
BIOMD0000000224, 6, 4, 3, 1
BIOMD0000000226, 24, 24, 6, 2
BIOMD0000000227, 57, 60, 11, 3
BIOMD0000000228, 22, 9, 20, 7
BIOMD0000000229, 14, 7, 7, 1
BIOMD0000000230, 64, 26, 41, 16
BIOMD0000000235, 778, 622, 210, 3
BIOMD0000000237, 31, 26, 14, 3
BIOMD0000000239, 45, 59, 2, 1
BIOMD0000000240, 14, 6, 11, 3
BIOMD0000000242, 12, 6, 7, 1
BIOMD0000000244, 109, 47, 81, 19
BIOMD0000000246, 41, 29, 29, 8
BIOMD0000000247, 25, 31, 5, 3
BIOMD0000000248, 5, 9, 1, 1
BIOMD0000000249, 20, 9, 20, 8
BIOMD0000000250, 78, 49, 57, 16
BIOMD0000000255, 827, 504, 555, 214
BIOMD0000000256, 56, 27, 51, 19
BIOMD0000000258, 4, 3, 2, 1
BIOMD0000000259, 29, 17, 12, 1
BIOMD0000000260, 29, 17, 12, 1
BIOMD0000000261, 29, 17, 12, 1
BIOMD0000000262, 11, 11, 2, 1
BIOMD0000000263, 11, 11, 2, 1
BIOMD0000000264, 15, 14, 3, 1
BIOMD0000000265, 52, 23, 43, 12
BIOMD0000000268, 61, 44, 39, 19
BIOMD0000000269, 22, 18, 16, 3
BIOMD0000000270, 42, 33, 25, 6
BIOMD0000000271, 8, 6, 4, 1
BIOMD0000000272, 8, 6, 5, 2
BIOMD0000000273, 38, 19, 21, 2
BIOMD0000000275, 9, 5, 6, 1
BIOMD0000000281, 22, 32, 2, 1
BIOMD0000000285, 72, 27, 15, 1
BIOMD0000000286, 93, 59, 15, 2
BIOMD0000000287, 37, 23, 7, 1
BIOMD0000000289, 12, 5, 7, 2
BIOMD0000000290, 12, 5, 7, 2
BIOMD0000000292, 4, 6, 1, 1
BIOMD0000000293, 316, 136, 32, 1
BIOMD0000000294, 26, 11, 26, 10
BIOMD0000000295, 8, 5, 3, 1
BIOMD0000000297, 51, 31, 32, 9
BIOMD0000000300, 10, 16, 10, 3
BIOMD0000000301, 15, 8, 7, 1
BIOMD0000000303, 45, 42, 2, 1
BIOMD0000000306, 8, 5, 6, 1
BIOMD0000000307, 5, 5, 2, 1
BIOMD0000000308, 6, 6, 3, 1
BIOMD0000000309, 4, 4, 2, 1
BIOMD0000000310, 6, 4, 5, 1
BIOMD0000000311, 5, 4, 4, 1
BIOMD0000000312, 4, 3, 2, 1
BIOMD0000000313, 16, 16, 6, 1
BIOMD0000000314, 12, 12, 5, 1
BIOMD0000000315, 27, 20, 8, 3
BIOMD0000000316, 4, 3, 2, 1
BIOMD0000000317, 6, 4, 3, 1
BIOMD0000000318, 17, 7, 15, 5
BIOMD0000000319, 4, 3, 1, 1
BIOMD0000000322, 9, 4, 6, 1
BIOMD0000000323, 6, 3, 3, 1
BIOMD0000000325, 10, 6, 4, 1
BIOMD0000000326, 91, 71, 38, 11
BIOMD0000000327, 11, 8, 6, 2
BIOMD0000000328, 29, 18, 11, 3
BIOMD0000000329, 8, 3, 6, 1
BIOMD0000000335, 31, 34, 4, 1
BIOMD0000000337, 5, 3, 3, 1
BIOMD0000000338, 115, 54, 86, 30
BIOMD0000000339, 115, 54, 86, 30
BIOMD0000000340, 116, 54, 91, 31
BIOMD0000000342, 29, 21, 11, 3
BIOMD0000000344, 80, 54, 21, 2
BIOMD0000000347, 36, 26, 21, 7
BIOMD0000000350, 30, 14, 21, 5
BIOMD0000000351, 12, 6, 11, 4
BIOMD0000000352, 12, 6, 11, 4
BIOMD0000000354, 11, 6, 8, 2
BIOMD0000000355, 17, 9, 11, 2
BIOMD0000000356, 64, 32, 54, 13
BIOMD0000000359, 8, 9, 3, 1
BIOMD0000000360, 8, 9, 3, 1
BIOMD0000000362, 33, 34, 4, 1
BIOMD0000000365, 33, 30, 5, 1
BIOMD0000000389, 18, 22, 1, 1
BIOMD0000000393, 36, 58, 2, 1
BIOMD0000000399, 125, 100, 74, 30
BIOMD0000000404, 35, 29, 27, 11
BIOMD0000000405, 8, 6, 6, 2
BIOMD0000000406, 51, 49, 16, 4
BIOMD0000000407, 88, 47, 63, 22
BIOMD0000000408, 9, 10, 3, 1
BIOMD0000000409, 31, 24, 16, 3
BIOMD0000000410, 91, 53, 69, 30
BIOMD0000000411, 13, 10, 1, 1
BIOMD0000000413, 9, 5, 7, 2
BIOMD0000000414, 3, 1, 3, 1
BIOMD0000000417, 2, 1, 1, 1
BIOMD0000000418, 2, 1, 1, 1
BIOMD0000000419, 6, 3, 3, 1
BIOMD0000000420, 4, 2, 2, 1
BIOMD0000000421, 4, 2, 2, 1
BIOMD0000000422, 43, 37, 15, 1
BIOMD0000000423, 11, 9, 7, 2
BIOMD0000000424, 58, 55, 19, 3
BIOMD0000000425, 4, 1, 4, 1
BIOMD0000000426, 29, 34, 3, 1
BIOMD0000000427, 22, 21, 15, 3
BIOMD0000000429, 16, 15, 7, 1
BIOMD0000000430, 28, 27, 9, 2
BIOMD0000000431, 28, 27, 9, 2
BIOMD0000000432, 10, 11, 5, 1
BIOMD0000000433, 10, 11, 5, 1
BIOMD0000000434, 35, 34, 11, 3
BIOMD0000000435, 8, 4, 4, 1
BIOMD0000000437, 40, 61, 5, 1
BIOMD0000000439, 21, 20, 9, 3
BIOMD0000000440, 10, 11, 5, 1
BIOMD0000000441, 10, 11, 5, 1
BIOMD0000000442, 12, 13, 6, 1
BIOMD0000000443, 22, 19, 14, 4
BIOMD0000000444, 22, 18, 14, 4
BIOMD0000000445, 64, 32, 37, 5
BIOMD0000000446, 62, 27, 43, 8
BIOMD0000000447, 32, 13, 29, 10
BIOMD0000000448, 34, 27, 23, 6
BIOMD0000000449, 34, 27, 23, 6
BIOMD0000000450, 74, 53, 46, 22
BIOMD0000000452, 117, 109, 45, 16
BIOMD0000000453, 117, 109, 45, 16
BIOMD0000000462, 8, 6, 5, 2
BIOMD0000000463, 50, 39, 24, 8
BIOMD0000000465, 12, 16, 7, 2
BIOMD0000000466, 28, 34, 8, 1
BIOMD0000000467, 24, 20, 9, 5
BIOMD0000000468, 74, 79, 24, 7
BIOMD0000000469, 399, 786, 17, 10
BIOMD0000000470, 399, 786, 17, 10
BIOMD0000000471, 282, 657, 23, 14
BIOMD0000000472, 282, 657, 23, 14
BIOMD0000000473, 298, 713, 71, 52
BIOMD0000000474, 367, 133, 317, 60
BIOMD0000000475, 25, 23, 7, 1
BIOMD0000000476, 36, 16, 28, 8
BIOMD0000000477, 49, 43, 1, 1
BIOMD0000000478, 39, 33, 18, 4
BIOMD0000000479, 44, 28, 27, 9
BIOMD0000000480, 88, 41, 82, 26
BIOMD0000000482, 29, 23, 15, 4
BIOMD0000000483, 8, 8, 4, 1
BIOMD0000000484, 2, 2, 1, 1
BIOMD0000000485, 4, 2, 4, 1
BIOMD0000000486, 2, 2, 1, 1
BIOMD0000000487, 6, 6, 5, 2
BIOMD0000000488, 112, 69, 25, 4
BIOMD0000000489, 59, 53, 32, 14
BIOMD0000000490, 66, 33, 53, 20
BIOMD0000000491, 86, 57, 50, 20
BIOMD0000000492, 88, 52, 60, 23
BIOMD0000000493, 6, 3, 3, 1
BIOMD0000000494, 71, 80, 7, 1
BIOMD0000000495, 17, 11, 3, 1
BIOMD0000000496, 285, 295, 41, 26
BIOMD0000000497, 285, 295, 41, 26
BIOMD0000000498, 44, 21, 36, 13
BIOMD0000000500, 18, 14, 13, 7
BIOMD0000000501, 57, 35, 46, 22
BIOMD0000000504, 132, 75, 40, 7
BIOMD0000000505, 59, 54, 26, 12
BIOMD0000000506, 59, 54, 26, 12
BIOMD0000000507, 4, 3, 2, 1
BIOMD0000000510, 36, 47, 1, 1
BIOMD0000000511, 36, 46, 1, 1
BIOMD0000000512, 75, 39, 44, 13
BIOMD0000000514, 35, 46, 1, 1
BIOMD0000000515, 40, 51, 1, 1
BIOMD0000000516, 40, 50, 2, 1
BIOMD0000000517, 9, 4, 6, 1
BIOMD0000000518, 9, 4, 6, 1
BIOMD0000000519, 7, 3, 5, 1
BIOMD0000000520, 7, 3, 5, 1
BIOMD0000000523, 13, 18, 1, 1
BIOMD0000000524, 13, 18, 1, 1
BIOMD0000000525, 19, 18, 1, 1
BIOMD0000000526, 19, 18, 1, 1
BIOMD0000000530, 17, 10, 16, 6
BIOMD0000000534, 71, 41, 43, 17
BIOMD0000000535, 71, 42, 43, 17
BIOMD0000000536, 66, 39, 43, 17
BIOMD0000000537, 73, 44, 45, 19
BIOMD0000000539, 11, 6, 9, 3
BIOMD0000000540, 11, 22, 1, 1
BIOMD0000000541, 30, 37, 11, 2
BIOMD0000000542, 84, 45, 72, 25
BIOMD0000000543, 127, 111, 67, 27
BIOMD0000000544, 119, 108, 59, 24
BIOMD0000000545, 10, 14, 3, 1
BIOMD0000000547, 14, 12, 7, 1
BIOMD0000000552, 4, 3, 3, 1
BIOMD0000000553, 4, 3, 3, 1
BIOMD0000000557, 22, 25, 4, 1
BIOMD0000000558, 4, 2, 2, 1
BIOMD0000000559, 136, 90, 46, 16
BIOMD0000000560, 117, 65, 51, 12
BIOMD0000000563, 15, 10, 11, 3
BIOMD0000000564, 38, 19, 21, 2
BIOMD0000000565, 64, 26, 61, 23
BIOMD0000000568, 69, 39, 63, 18
BIOMD0000000569, 62, 21, 62, 19
BIOMD0000000570, 18, 20, 1, 1
BIOMD0000000571, 92, 76, 66, 17
BIOMD0000000573, 7, 2, 7, 2
BIOMD0000000574, 576, 195, 576, 191
BIOMD0000000575, 58, 76, 6, 3
BIOMD0000000577, 64, 32, 37, 5
BIOMD0000000578, 96, 76, 41, 13
BIOMD0000000579, 175, 240, 5, 1
BIOMD0000000580, 26, 39, 12, 1
BIOMD0000000581, 32, 28, 20, 5
BIOMD0000000582, 41, 40, 17, 4
BIOMD0000000583, 30, 23, 6, 2
BIOMD0000000584, 14, 35, 7, 1
BIOMD0000000586, 23, 10, 19, 5
BIOMD0000000587, 23, 10, 19, 5
BIOMD0000000588, 157, 76, 91, 22
BIOMD0000000590, 20, 9, 20, 9
BIOMD0000000591, 9, 8, 3, 1
BIOMD0000000594, 120, 33, 120, 26
BIOMD0000000595, 1490, 218, 1490, 208
BIOMD0000000597, 56, 28, 33, 5
BIOMD0000000598, 56, 28, 33, 5
BIOMD0000000599, 37, 30, 14, 6
BIOMD0000000600, 29, 18, 23, 8
BIOMD0000000601, 3, 5, 1, 1
BIOMD0000000602, 42, 56, 2, 1
BIOMD0000000603, 58, 29, 44, 15
BIOMD0000000604, 54, 29, 40, 14
BIOMD0000000605, 58, 29, 44, 15
BIOMD0000000606, 54, 29, 38, 13
BIOMD0000000607, 58, 29, 44, 15
BIOMD0000000608, 140, 52, 124, 33
BIOMD0000000609, 10, 5, 3, 1
BIOMD0000000610, 58, 29, 44, 15
BIOMD0000000611, 62, 66, 4, 1
BIOMD0000000612, 76, 37, 21, 5
BIOMD0000000613, 58, 31, 29, 1
BIOMD0000000614, 4, 1, 4, 1
BIOMD0000000615, 17, 4, 17, 4
BIOMD0000000616, 10, 4, 8, 2
BIOMD0000000617, 4, 1, 4, 1
BIOMD0000000620, 20, 35, 13, 2
BIOMD0000000621, 20, 35, 13, 2
BIOMD0000000622, 17, 11, 11, 3
BIOMD0000000623, 31, 31, 21, 5
BIOMD0000000625, 38, 19, 21, 2
BIOMD0000000627, 64, 65, 1, 1
BIOMD0000000628, 587, 135, 578, 116
BIOMD0000000630, 14, 6, 13, 5
BIOMD0000000631, 33, 12, 28, 7
BIOMD0000000632, 14, 9, 6, 1
BIOMD0000000633, 35, 50, 14, 6
BIOMD0000000634, 112, 69, 25, 4
BIOMD0000000635, 113, 80, 78, 22
BIOMD0000000636, 113, 78, 78, 22
BIOMD0000000637, 22, 12, 22, 9
BIOMD0000000638, 48, 21, 48, 17
BIOMD0000000640, 48, 45, 41, 13
BIOMD0000000646, 24, 18, 23, 9
BIOMD0000000647, 11, 11, 9, 4
BIOMD0000000648, 64, 54, 37, 8
BIOMD0000000652, 63, 54, 35, 7
BIOMD0000000653, 62, 54, 34, 7
BIOMD0000000654, 63, 54, 36, 8
BIOMD0000000655, 63, 54, 36, 8
BIOMD0000000656, 62, 54, 37, 8
BIOMD0000000658, 17, 16, 7, 1
BIOMD0000000660, 35, 20, 25, 8
BIOMD0000000661, 17, 7, 15, 5
BIOMD0000000663, 9, 3, 8, 2
BIOMD0000000664, 15, 8, 12, 3
BIOMD0000000665, 13, 8, 9, 4
BIOMD0000000666, 48, 48, 32, 6
BIOMD0000000667, 148, 103, 76, 30
BIOMD0000000674, 73, 53, 45, 22
BIOMD0000000676, 17, 15, 2, 1
BIOMD0000000678, 4, 4, 3, 1
BIOMD0000000687, 25, 15, 15, 5
BIOMD0000000688, 30, 16, 20, 6
BIOMD0000000691, 18, 19, 1, 1
BIOMD0000000695, 35, 12, 33, 9
BIOMD0000000696, 23, 9, 15, 3
BIOMD0000000697, 30, 16, 20, 7
BIOMD0000000698, 9, 7, 5, 2
BIOMD0000000699, 48, 36, 47, 19
BIOMD0000000700, 49, 30, 40, 15
BIOMD0000000701, 48, 24, 47, 19
